                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73756,                 3.1675,                 1.2508,                0.61852,                0.55844,                0.62388,                0.53918,                0.54885,                  1.574,                  1.041,             9.7588e-05,             9.7588e-05,             9.7588e-05
                      2,                0.59876,                 1.5089,                 1.1098,                0.64152,                0.66417,                  0.718,                0.60829,                 0.5972,                 1.2658,                 1.0788,             0.00019365,             0.00019365,             0.00019365
                      3,                0.60693,                 1.2867,                 1.1119,                0.72327,                0.65357,                0.75328,                0.64097,                0.61297,                  1.209,                 1.0913,             0.00028778,             0.00028778,             0.00028778
                      4,                0.59407,                 1.1469,                  1.099,                0.74136,                 0.7218,                 0.7741,                0.65852,                0.58822,                 1.1007,                 1.0743,             0.00028527,             0.00028527,             0.00028527
                      5,                0.58388,                 1.0461,                 1.0972,                0.71362,                0.75818,                0.80547,                0.68874,                 0.5908,                0.98787,                 1.0879,             0.00028236,             0.00028236,             0.00028236
                      6,                0.57589,                0.99243,                 1.0921,                0.79316,                0.75338,                0.83068,                0.71062,                0.58563,                0.93205,                 1.0687,             0.00027945,             0.00027945,             0.00027945
                      7,                0.55639,                0.89898,                 1.0753,                0.80914,                0.77163,                0.85438,                0.74207,                0.55993,                0.83889,                 1.0426,             0.00027654,             0.00027654,             0.00027654
                      8,                 0.5495,                0.87496,                 1.0773,                0.79133,                0.75719,                0.83945,                 0.7353,                0.54121,                0.89639,                   1.02,             0.00027363,             0.00027363,             0.00027363
                      9,                 0.5412,                0.81307,                  1.067,                0.85567,                0.79811,                0.87954,                0.77607,                0.53263,                0.73126,                 1.0197,             0.00027072,             0.00027072,             0.00027072
                     10,                0.54072,                0.81353,                 1.0652,                0.83046,                0.77349,                0.86209,                 0.7529,                0.54265,                 0.7828,                 1.0302,              0.0002678,              0.0002678,              0.0002678
                     11,                0.52176,                0.76172,                 1.0532,                0.83893,                0.80804,                0.88039,                0.77842,                0.53401,                0.74043,                 1.0155,             0.00026489,             0.00026489,             0.00026489
                     12,                0.51836,                0.73063,                 1.0504,                0.87007,                0.80256,                0.89322,                0.79469,                 0.5122,                0.67672,                 1.0043,             0.00026198,             0.00026198,             0.00026198
                     13,                0.51045,                 0.7068,                 1.0432,                0.83799,                 0.8097,                0.89149,                0.78949,                0.51716,                0.70041,                 1.0075,             0.00025907,             0.00025907,             0.00025907
                     14,                0.50231,                0.69521,                 1.0369,                0.85152,                0.80648,                0.88575,                0.78682,                 0.5254,                0.70049,                 1.0147,             0.00025616,             0.00025616,             0.00025616
                     15,                0.50566,                 0.6769,                 1.0414,                0.87312,                 0.8136,                0.89935,                 0.8069,                0.49834,                0.64163,                0.99028,             0.00025325,             0.00025325,             0.00025325
                     16,                 0.4971,                0.65924,                 1.0385,                0.86819,                0.79781,                0.89624,                 0.8008,                0.51314,                0.66577,                 1.0004,             0.00025034,             0.00025034,             0.00025034
                     17,                0.48919,                  0.634,                  1.029,                0.83866,                0.81915,                 0.8877,                0.78473,                0.52565,                0.70343,                  1.014,             0.00024743,             0.00024743,             0.00024743
                     18,                0.48947,                0.62936,                  1.031,                0.87406,                0.84108,                0.90785,                0.80976,                0.51428,                0.63727,                 1.0043,             0.00024452,             0.00024452,             0.00024452
                     19,                0.48661,                0.61865,                 1.0282,                0.89511,                0.83691,                0.91496,                0.82814,                0.48692,                0.60343,                0.97177,             0.00024161,             0.00024161,             0.00024161
                     20,                0.48073,                0.59039,                 1.0231,                0.86219,                0.84676,                 0.9091,                0.81842,                0.49309,                0.60448,                0.97878,              0.0002387,              0.0002387,              0.0002387
                     21,                0.47484,                0.57722,                 1.0213,                0.88926,                0.81163,                0.90905,                0.82022,                0.48287,                0.61875,                0.97754,             0.00023579,             0.00023579,             0.00023579
                     22,                0.47723,                0.57392,                 1.0177,                0.86069,                 0.8497,                0.90597,                0.81969,                 0.4793,                0.59667,                0.96896,             0.00023288,             0.00023288,             0.00023288
                     23,                0.46111,                0.56482,                  1.011,                 0.8748,                0.85435,                0.92271,                0.83077,                0.48607,                0.57301,                0.97712,             0.00022997,             0.00022997,             0.00022997
